File,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_Return=OK,READ_0,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_0,UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_Return=OK,UPDATE_0,Workload,Write_Concern,DB_Type,Read_Preference,Threads,Target,Minutes,READ_1000,UPDATE_1000
2_writeConcern=acknowledged_result_mongodb_workloada_nearest_20241106_192455.json,1419,704.721635,2,11,0.775194,2,11,0.775194,503,1632.051690,560,82439,505,1629.404762,2,1575.000000,5.000000,3145,1575.000000,492,1323.237805,570,10494,495,1320.553753,workloada,acknowledged,mongodb,nearest,2,10000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloadb_nearest_20241106_215855.json,1621,616.903146,2,10,0.616903,2,10,0.616903,945,1918.206349,553,146908,945,1917.336864,2,2895.500000,7.000000,5784,2895.500000,55,1593.909091,879,12376,55,1593.909091,workloadb,journaled,mongodb,nearest,2,10000,0.100000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_nearest_20241106_190055.json,1173,852.514919,2,13,1.108269,2,13,1.108269,534,5215.473783,906,104074,534,5215.473783,8,652.000000,,5209,652.000000,466,4162.725322,932,100617,466,4162.725322,workloada,unacknowledged,mongodb,nearest,8,5000,0.500000,,
8_writeConcern=journaled_result_mongodb_workloadb_nearest_20241106_220453.json,1628,614.250614,2,12,0.737101,2,12,0.737101,949,6976.099052,1044,186411,949,6976.099052,8,1092.000000,,8729,1092.000000,51,6339.176471,1125,38676,51,6339.176471,workloadb,journaled,mongodb,nearest,8,5000,0.100000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_primary_20241106_183935.json,1300,769.230769,2,12,0.923077,2,12,0.923077,502,5483.703187,1036,114058,502,5483.703187,8,491.500000,,3925,491.500000,498,4919.556225,988,101286,498,4919.556225,workloada,unacknowledged,mongodb,primary,8,3000,0.300000,,
8_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_190942.json,1274,784.929356,2,13,1.020408,2,13,1.020408,518,5211.749035,1033,118869,518,5211.749035,8,683.125000,,5459,683.125000,482,4423.520747,886,108008,482,4423.520747,workloada,acknowledged,mongodb,primary,8,3000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_213728.json,2060,485.436893,2,13,0.631068,2,13,0.631068,954,2593.944444,384,171537,954,2838.090909,2,884.000000,7.000000,1761,884.000000,46,5732.978261,772,167670,46,6819.057143,workloadb,journaled,mongodb,primary,2,5000,0.100000,1863.548117,2277.272727
2_writeConcern=unacknowledged_result_mongodb_workloadb_secondary_20241106_204438.json,1993,501.756147,2,10,0.501756,2,10,0.501756,954,2613.665618,805,100826,954,2861.439266,2,1565.500000,7.000000,3124,1565.500000,46,2697.695652,1076,16823,46,2902.289474,workloadb,unacknowledged,mongodb,secondary,2,1000,0.500000,1900.560976,1725.875000
2_writeConcern=majority_result_mongodb_workloadb_primary_20241106_220948.json,1717,582.411182,2,10,0.582411,2,10,0.582411,957,2073.100313,695,152338,962,2066.918495,2,1432.500000,6.000000,2859,1432.500000,38,2562.657895,910,26948,38,2562.657895,workloadb,majority,mongodb,primary,2,10000,0.500000,,
4_writeConcern=unacknowledged_result_mongodb_workloada_primary_20241106_183521.json,1617,618.429190,2,12,0.742115,2,12,0.742115,487,3250.973306,826,99614,487,3250.973306,4,881.500000,1.000000,3507,881.500000,513,3099.261209,862,106085,513,3099.261209,workloada,unacknowledged,mongodb,primary,4,1000,0.300000,,
8_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_212248.json,1688,592.417062,2,12,0.710900,2,12,0.710900,947,7131.497360,755,174334,947,7131.497360,8,622.750000,,4974,622.750000,53,7112.811321,1053,52342,53,7112.811321,workloadb,acknowledged,mongodb,secondary,8,3000,0.100000,,
2_writeConcern=acknowledged_result_mongodb_workloadb_nearest_20241106_212816.json,1996,501.002004,2,13,0.651303,2,13,0.651303,945,2477.491005,788,155223,949,2659.318239,2,1631.500000,6.000000,3257,1631.500000,51,2321.784314,978,17772,51,2343.100000,workloadb,acknowledged,mongodb,nearest,2,10000,0.300000,1489.941176,1256.000000
4_writeConcern=unacknowledged_result_mongodb_workloada_primary_20241106_183809.json,1723,580.383053,2,13,0.754498,2,13,0.754498,497,3816.030181,732,131878,497,3816.030181,4,567.500000,1.000000,2262,567.500000,503,3774.836978,764,127344,503,3774.836978,workloada,unacknowledged,mongodb,primary,4,10000,0.500000,,
4_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_211831.json,1609,621.504040,2,10,0.621504,2,10,0.621504,963,3673.637591,731,156156,963,3673.637591,4,974.500000,1.000000,3883,974.500000,37,7146.729730,1184,143370,37,7146.729730,workloadb,acknowledged,mongodb,secondary,4,1000,0.100000,,
8_writeConcern=journaled_result_mongodb_workloada_nearest_20241106_200013.json,1641,609.384522,2,17,1.035954,2,17,1.035954,477,6776.224319,1027,113048,477,6776.224319,8,1134.625000,,9066,1134.625000,523,6487.814532,938,106083,523,6487.814532,workloada,journaled,mongodb,nearest,8,1000,0.500000,,
4_writeConcern=acknowledged_result_mongodb_workloada_nearest_20241106_192726.json,1337,747.943156,2,11,0.822737,2,11,0.822737,519,3096.404624,750,145325,521,3080.226488,4,933.500000,1.000000,3727,933.500000,479,3094.810021,749,145073,479,3094.810021,workloada,acknowledged,mongodb,nearest,4,5000,0.100000,,
8_writeConcern=majority_result_mongodb_workloadb_secondary_20241106_222450.json,1356,737.463127,2,11,0.811209,2,11,0.811209,954,5146.951782,856,163501,954,5109.067086,8,541.500000,,4326,541.500000,46,4081.630435,1362,20164,46,4081.630435,workloadb,majority,mongodb,secondary,8,3000,0.300000,,
